,Date,Finish,Length,Length(km),Race_ID,Stage#,Stage_Name,Stage_Type,Start,url
2340,2015-06-28,Mozyr,190.0,,1069,0,National Championships Belarus - Road Race 2015,PRL,Mozyr,race/nc-belarus/2015
2341,2015-06-28,Tervuren,252.0,,1070,0,National Championships Belgium - Road Race 2015,PRL,Tervuren,race/nc-belgium/2015
2342,2015-06-28,Bihac,0.0,,1071,0,National Championships Bosnia and Herzegovina - Road Race 2015,PRL,Bihac,race/nc-bosnia-and-herzegovina/2015
2343,2015-06-28,Pazardzhik,150.0,,1072,0,National Championships Bulgaria - Road Race 2015,PRL,Pazardzhik,race/nc-bulgaria/2015
2344,2015-06-28,Sibenik,148.0,,1073,0,National Championships Croatia - Road Race 2015,PRL,Sibenik,race/nc-croatia/2015
2345,2015-06-28,Zilina,199.0,,1074,0,National Championships Czech Republic - Road Race 2015,PRL,Zilina,race/nc-czech-republic/2015
2346,2015-06-28,Finish,0.0,,1075,0,National Championships Denmark - Road Race 2015,PRL,Start,race/danish-championships/2015
2347,2015-06-28,Vändra,183.2,,1076,0,National Championships Estonia  - Road Race 2015,PRL,Vändra,race/nc-estonia/2015
2348,2015-06-28,Vantaa,181.0,,1077,0,National Championships Finland - Road Race 2015,PRL,Vantaa,race/nc-finland/2015
2349,2015-06-28,Chantonnay,247.4,,1078,0,National Championships France - Road Race 2015,PRL,Chantonnay,race/nc-france/2015
2350,2015-06-28,Tbilisi,0.0,,1079,0,National Championships Georgia - Road Race 2015,PRL,Tbilisi,race/nc-georgia/2015
2351,2015-06-28,Bensheim,204.8,,1080,0,National Championships Germany - Road Race 2015,PRL,Bensheim,race/nc-germany/2015
2352,2015-06-28,Louth,200.5,,1081,0,National Championships Great Britain - Road Race 2015,PRL,Louth,race/ncgreat-britain/2015
2353,2015-06-28,Nafplio,183.0,,1082,0,National Championships Greece - Road Race 2015,PRL,Nafplio,race/nc-greece/2015
2354,2015-06-28,Debrecen,0.0,,1083,0,National Championships Hungary - Road Race 2015,PRL,Debrecen,race/nc-hungary/2015
