,rider_url
857,brice-feillu
858,jeremie-galland
859,jonathan-hivert
860,fabrice-jeandesboz
861,emmanuel-keo
862,christophe-laborie
863,david-lelay
864,cyril-lemoine
865,guillaume-levarlet
866,laurent-mangel
867,jean-marc-marino
868,rony-martias
869,maxime-mederel
870,jean-lou-paiani
871,stephane-poulhies
872,paul-poux
873,maxime-renault
874,julien-simon
875,yannick-talabardon
876,etienne-tortelier
877,alexis-vuillermoz
878,ryan-anderson
879,zach-bell
880,david-boily
881,guillaume-boivin
882,flavio-de-luna
883,antoine-duchesne
884,caleb-fairly
885,martin-gilbert
886,hugo-houle
887,raimond-kunzli
888,keven-lacombe
889,simon-lambert-lemay
890,jonathan-patrick-mccarty
891,francois-parisien
892,ryan-roth
893,will-routley
894,bjorn-selander
895,brian-vandborg
896,yukiya-arashiro
897,giovanni-bernaudeau
898,franck-bouyer
899,anthony-charteau
900,sebastien-chavanel
901,rafaa-chtioui
902,mathieu-claude
903,jerome-cousin
904,damien-gaudin
905,cyril-gautier
906,yohann-gene
907,romain-guillemois
908,said-haddou
909,tony-hurel
910,vincent-jerome
911,christophe-kern
912,pierre-henri-lecuisinier
913,davide-malacarne
914,bryan-nauleau
915,matteo-pelucchi
916,alexandre-pichot
917,perrig-quemeneur
918,kevin-reza
919,pierre-rolland
920,bjorn-thurau
921,angelo-tulik
922,sebastien-turgot
923,david-veilleux
924,thomas-voeckler
925,jan-barta
926,jerome-baugnies
927,cesare-benedetti
928,matthias-brandle
929,steven-cozza
930,andreas-dietziker
931,markus-eichler
932,reto-hollenstein
933,bartosz-huzarski
934,grischa-janorschke
935,blaz-jarc
936,leopold-konig
937,andreas-schillinger
938,daniel-schorn
939,andre-schulze
940,michael-schwarzmann
941,timon-seubert
942,marcel-wyss
943,julien-antomarchi
944,alessandro-bazzana
945,rubens-bertogliati
946,laszlo-bodrogi
947,alex-bowden
948,fabio-calabria
949,daniele-callegarin
950,daniele-colli
951,remi-cusin
952,william-dugan
953,alexander-efimkin
954,julien-el-fares
955,joe-eldridge
956,filippo-fortin
957,aldo-ino-ilesic
958,jure-kocjan
959,vegard-stake-laengen
960,david-lozano
961,javier-megias
962,georg-preidler
963,kiel-reijnen
964,joey-rosskopf
965,alexander-serebryakov
966,martijn-verschoor
967,sander-armee
968,dominique-cornu
969,kevin-de-jonghe
970,kenny-de-ketele
971,laurens-de-vreese
972,tim-declercq
973,pieter-jacobs
974,sven-jodts
975,eliot-lietaer
976,tim-mertens
977,stijn-neirynck
978,jarl-salomein
979,pieter-serry
980,tom-van-asbroeck
981,preben-van-hecke
982,gijs-van-hoecke
983,michael-van-staeyen
984,steven-van-vooren
985,sven-vandousselaere
986,arthur-vanoverberghe
987,pieter-vanspeybrouck
988,zico-waeytens
989,jelle-wallays
990,jonathan-clarke
991,hilton-clarke
992,benjamin-day
993,marc-de-maar
994,philip-deignan
995,robert-forster
996,davide-frattini
997,adrian-hegyvary
998,chris-jones
999,jacobe-keough
1000,jeff-louder
1001,jason-mccartney
1002,karl-menzies
1003,kai-reus
1004,daniel-summerhill
1005,rory-sutherland
1006,jay-robert-thomson
